"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","103","9,102","2,328","670"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","74","12,682","3,291","983"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","50","23,785","5,662","1,559"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","22","24,569","5,905","1,459"
"Alabama","722511","Full-service restaurants","Partnerships","All establishments","2019","664","266,373","62,202","15,526"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","169","12,296","830","210"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","91","8,439","2,177","629"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","131","30,287","7,463","1,866"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","174","95,559","23,319","5,659"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","89","103,523","25,030","5,952"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","10","16,269","3,383","1,210"
"Alaska","722511","Full-service restaurants","All establishments","All establishments","2019","579","241,748","49,721","8,620"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","214","21,117","1,552","349"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","108","20,294","4,076","762"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","110","37,429","8,012","1,488"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","114","89,196","20,231","3,368"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","28","52,966","11,264","1,927"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","5","20,746","4,586","726"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","49","29,495","6,041","1,013"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","17","1,357","96","24"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","10","3,860","465","79"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","6","2,028","460","69"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","9","7,129","1,549","266"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","6","12,672","2,913","454"
"Alaska","722511","Full-service restaurants","S-corporations ","All establishments","2019","264","143,479","29,324","4,973"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","59","9,034","474","99"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","48","9,202","1,943","349"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","66","24,447","5,348","917"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","72","56,828","12,526","2,101"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","17","33,647","6,744","1,157"
"Alaska","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","139","20,507","3,899","852"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","79","5,566","554","130"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","31","4,395","994","206"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","22","5,273","1,097","289"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","7","5,273","1,254","227"
"Alaska","722511","Full-service restaurants","Partnerships","All establishments","2019","126","48,128","10,423","1,772"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","59","5,160","428","96"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","18","2,698","640","118"
