"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","87","17,468","5,276","1,180"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","73","33,836","11,125","2,190"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","35","34,848","13,306","2,587"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2020","6","14,953","6,656","893"
"Arizona","722511","Full-service restaurants","Partnerships","All establishments","2020","1,220","577,272","185,085","32,229"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","251","22,522","2,356","301"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","141","20,792","5,941","986"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","232","60,957","19,622","3,254"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","394","219,770","73,581","12,726"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","173","184,750","61,565","11,237"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","29","68,481","22,020","3,725"
"Arizona","722511","Full-service restaurants","Non-profit","All establishments","2020","3","292","128","29"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2020","18","12,548","3,583","684"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2020","3","1,116","1","1"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2020","3","2,317","728","118"
